Angles,,,PercentGaitCycle,VerySlowLB,VerySlowMean,VerySlowUB,SlowLB,SlowMean,SlowUB,FreeLB,FreeMean,FreeUB,FastLB,FastMean,FastUB,VeryFastLB,VeryFastMean,VeryFastUB
Trunk,Int/External,Rotation,44,-2.8823,0.7951,4.4725,-1.2693,2.3965,6.0623,0.2792,4.3546,8.43,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,46,-2.6393,1.0238,4.6869,-1.1125,2.6066,6.3257,0.4809,4.6209,8.7609,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,48,-2.4166,1.2869,4.9904,-0.9117,2.8209,6.5534,0.5424,4.7164,8.8905,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,50,-2.2648,1.4496,5.1639,-0.844,2.9339,6.7118,0.4898,4.667,8.8442,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,52,-2.2311,1.5071,5.2453,-0.9318,2.8815,6.6948,0.2259,4.4212,8.6166,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,54,-2.3227,1.4381,5.1988,-1.2814,2.5918,6.4649,-0.2376,3.9749,8.1873,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,56,-2.5363,1.2334,5.0031,-1.734,2.1409,6.0158,-0.8771,3.3797,7.6365,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,58,-2.6837,1.1151,4.9139,-2.1046,1.7609,5.6264,-1.4395,2.8308,7.1011,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,60,-2.7178,1.0884,4.8946,-2.3637,1.555,5.4737,-1.8844,2.401,6.6864,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,62,-2.6414,1.1645,4.9703,-2.4061,1.5126,5.4313,-2.2924,2.0578,6.4081,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,64,-2.5746,1.222,5.0187,-2.4566,1.4403,5.3372,-2.5716,1.7559,6.0833,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,66,-2.6302,1.1794,4.9889,-2.6886,1.1843,5.0573,-2.8885,1.3906,5.6696,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,68,-2.7733,1.0722,4.9177,-2.9699,0.8249,4.6196,-3.2357,0.9821,5.1999,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,70,-2.9613,0.9228,4.8069,-3.3195,0.4524,4.2243,-3.5554,0.5403,4.6359,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,72,-3.1415,0.7396,4.6207,-3.6078,0.1217,3.8511,-3.8615,0.1519,4.1653,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Int/External,Rotation,74,-3.2662,0.6206,4.5074,-3.8223,-0.1473,3.5276,-4.1327,-0.2027,3.7273,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
